iso_code,location,date,people_fully_vaccinated_per_hundred
OWID_AFR,Africa,13/1/2021,
OWID_AFR,Africa,14/1/2021,
OWID_AFR,Africa,15/1/2021,
OWID_AFR,Africa,16/1/2021,
OWID_AFR,Africa,17/1/2021,
OWID_AFR,Africa,18/1/2021,
OWID_AFR,Africa,19/1/2021,
OWID_AFR,Africa,20/1/2021,
OWID_AFR,Africa,21/1/2021,
OWID_AFR,Africa,22/1/2021,
OWID_AFR,Africa,23/1/2021,
OWID_AFR,Africa,24/1/2021,
OWID_AFR,Africa,25/1/2021,
OWID_AFR,Africa,26/1/2021,
OWID_AFR,Africa,27/1/2021,
OWID_AFR,Africa,28/1/2021,
OWID_AFR,Africa,29/1/2021,
OWID_AFR,Africa,30/1/2021,
OWID_AFR,Africa,31/1/2021,
OWID_AFR,Africa,1/2/2021,
OWID_AFR,Africa,2/2/2021,
OWID_AFR,Africa,3/2/2021,0
OWID_AFR,Africa,4/2/2021,0
OWID_AFR,Africa,5/2/2021,0
OWID_AFR,Africa,6/2/2021,0
OWID_AFR,Africa,7/2/2021,0
OWID_AFR,Africa,8/2/2021,0
OWID_AFR,Africa,9/2/2021,0
OWID_AFR,Africa,10/2/2021,0
OWID_AFR,Africa,11/2/2021,0
OWID_AFR,Africa,12/2/2021,0
OWID_AFR,Africa,13/2/2021,0
OWID_AFR,Africa,14/2/2021,0
OWID_AFR,Africa,15/2/2021,0
OWID_AFR,Africa,16/2/2021,0
OWID_AFR,Africa,17/2/2021,0
OWID_AFR,Africa,18/2/2021,0
OWID_AFR,Africa,19/2/2021,0
OWID_AFR,Africa,20/2/2021,0
OWID_AFR,Africa,21/2/2021,0
OWID_AFR,Africa,22/2/2021,0
OWID_AFR,Africa,23/2/2021,0.01
OWID_AFR,Africa,24/2/2021,0.01
OWID_AFR,Africa,25/2/2021,0.01
OWID_AFR,Africa,26/2/2021,0.01
OWID_AFR,Africa,27/2/2021,0.02
OWID_AFR,Africa,28/2/2021,0.02
OWID_AFR,Africa,1/3/2021,0.02
OWID_AFR,Africa,2/3/2021,0.03
OWID_AFR,Africa,3/3/2021,0.03
OWID_AFR,Africa,4/3/2021,0.04
OWID_AFR,Africa,5/3/2021,0.04
OWID_AFR,Africa,6/3/2021,0.05
OWID_AFR,Africa,7/3/2021,0.05
OWID_AFR,Africa,8/3/2021,0.06
OWID_AFR,Africa,9/3/2021,0.06
OWID_AFR,Africa,10/3/2021,0.07
OWID_AFR,Africa,11/3/2021,0.08
OWID_AFR,Africa,12/3/2021,0.1
OWID_AFR,Africa,13/3/2021,0.12
OWID_AFR,Africa,14/3/2021,0.12
OWID_AFR,Africa,15/3/2021,0.14
OWID_AFR,Africa,16/3/2021,0.15
OWID_AFR,Africa,17/3/2021,0.17
OWID_AFR,Africa,18/3/2021,0.17
OWID_AFR,Africa,19/3/2021,0.18
OWID_AFR,Africa,20/3/2021,0.19
OWID_AFR,Africa,21/3/2021,0.19
OWID_AFR,Africa,22/3/2021,0.2
OWID_AFR,Africa,23/3/2021,0.2
OWID_AFR,Africa,24/3/2021,0.22
OWID_AFR,Africa,25/3/2021,0.24
OWID_AFR,Africa,26/3/2021,0.25
OWID_AFR,Africa,27/3/2021,0.26
OWID_AFR,Africa,28/3/2021,0.26
OWID_AFR,Africa,29/3/2021,0.27
OWID_AFR,Africa,30/3/2021,0.28
OWID_AFR,Africa,31/3/2021,0.29
OWID_AFR,Africa,1/4/2021,0.29
OWID_AFR,Africa,2/4/2021,0.3
OWID_AFR,Africa,3/4/2021,0.3
OWID_AFR,Africa,4/4/2021,0.3
OWID_AFR,Africa,5/4/2021,0.31
OWID_AFR,Africa,6/4/2021,0.31
OWID_AFR,Africa,7/4/2021,0.32
OWID_AFR,Africa,8/4/2021,0.32
OWID_AFR,Africa,9/4/2021,0.32
OWID_AFR,Africa,10/4/2021,0.32
OWID_AFR,Africa,11/4/2021,0.33
OWID_AFR,Africa,12/4/2021,0.33
OWID_AFR,Africa,13/4/2021,0.33
OWID_AFR,Africa,14/4/2021,0.33
OWID_AFR,Africa,15/4/2021,0.33
OWID_AFR,Africa,16/4/2021,0.33
OWID_AFR,Africa,17/4/2021,0.33
OWID_AFR,Africa,18/4/2021,0.33
OWID_AFR,Africa,19/4/2021,0.33
OWID_AFR,Africa,20/4/2021,0.33
OWID_AFR,Africa,21/4/2021,0.34
OWID_AFR,Africa,22/4/2021,0.34
OWID_AFR,Africa,23/4/2021,0.34
OWID_AFR,Africa,24/4/2021,0.34
OWID_AFR,Africa,25/4/2021,0.34
